title,Production company,Release date,Running time,Country,Language,Box office,Directed by,Produced by,Written by,Based on,Starring,Music by,Distributed by,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Production companies
Academy Award Review of Walt Disney Cartoons,"['Production', 'company', 'Walt Disney Productions']","['May 19, 1937(1937-05-19)']",41 minutes (74 minutes 1966 release),United States,English,$45.472,,,,,,,,,,,,,,,,
Snow White and the Seven Dwarfs,"['Production', 'company', 'Walt Disney Productions']","['December 21, 1937(1937-12-21)(Carthay Circle Theatre,Los Angeles,CA, premiere)']",83 minutes,United States,English,$418 million[2],"['David Hand(supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']",Walt Disney,"['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']","['Based on', 'Snow White', 'by The', 'Brothers Grimm']","['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']","['Frank Churchill', 'Paul Smith', 'Leigh Harline']",RKO Radio Pictures,$1.49 million[1],,,,,,,,
Pinocchio,"['Production', 'company', 'Walt Disney Productions']","['February 7, 1940(1940-02-07)(Center Theatre)[1]', 'February 23, 1940(1940-02-23)(United States)[2]']",88 minutes,United States,English,$164 million,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",Walt Disney,,"['Based on', 'The Adventures of Pinocchio', 'by', 'Carlo Collodi']","['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro', 'Clarence Nash', 'Mel Blanc']","['Leigh Harline', 'Paul J. Smith']",RKO Radio Pictures,$2.6 million[3],"['Ted Sears', 'Otto Englander', 'Webb Smith', 'William Cottrell', 'Joseph Sabo', 'Erdman Penner', 'Aurelius Battaglia']",,,,,,,
Fantasia,"['Production', 'company', 'Walt Disney Productions']","['November 13, 1940(1940-11-13)']",126 minutes[1],United States,English,$76.4–$83.3 million[4][5],"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney', 'Ben Sharpsteen']",,,"['Leopold Stokowski', 'Deems Taylor']",See program,RKO Radio Pictures,$2.28 million[2][3],"['Joe Grant', 'Dick Huemer']",Deems Taylor,James Wong Howe,,,,,
The Reluctant Dragon,"['Production', 'company', 'Walt Disney Productions']","['June 20, 1941(1941-06-20)(New York City)', 'December 18, 1941(1941-12-18)']",74 minutes,United States,English,"$960,000 (worldwide rentals)[2]","['Directed by', 'Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)']",Walt Disney,"['Written by', 'Live-action:', 'Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'The Reluctant Dragon', 'segment:', 'Kenneth Grahame', '(original book)', 'Erdman Penner', 'T. Hee', 'Baby Weems', 'segment:', 'Joe Grant', 'Dick Huemer', 'John Miller']",,"['Starring', 'Robert Benchley', 'Frances Gifford', 'Buddy Pepper', 'Nana Bryant']","['Music by', 'Frank Churchill', 'Larry Morey']",RKO Radio Pictures,"$600,000[1]",,,Bert Glennon,Paul Weatherwax,,,,
Dumbo,"['Production', 'company', 'Walt Disney Productions']","['October 23, 1941(1941-10-23)(New York City)[1]', 'October 31, 1941(1941-10-31)(U.S.)']",64 minutes,United States,English,"$1.3 million (est. United States/Canada rentals, 1941)[3]","['Directed by', 'Ben Sharpsteen', '(supervising director)', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']",Walt Disney,,"['Based on', 'Dumbo, the Flying Elephant', 'by', 'Helen Aberson', 'Harold Pearl']","['Edward Brophy', 'Verna Felton', 'Cliff Edwards', 'Herman Bing', 'Sterling Holloway', 'Margaret Wright', 'Hall Johnson Choir']","['Music by', 'Frank Churchill', 'Oliver Wallace']",RKO Radio Pictures,"$950,000[2]","['Story by', 'Otto Englander', 'Joe Grant', 'Dick Huemer']",John McLeish,,,,,,
Bambi,"['Production', 'company', 'Walt Disney Productions']","['August 9, 1942(1942-08-09)(World Premiere-London)', 'August 13, 1942(1942-08-13)(Premiere-New York City)', 'August 21, 1942(1942-08-21)(U.S.)[1]']",70 minutes,United States,English,$267.4 million[3],"['Directed by', 'Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright']",Walt Disney,,"['Based on', 'Bambi, a Life in the Woods', 'by', 'Felix Salten']",see below,"['Music by', 'Frank Churchill', 'Edward H. Plumb']",RKO Radio Pictures,"$858,000[2]","['Story by', 'Story direction', 'Perce Pearce', 'Story adaptation', 'Larry Morey', 'Story development', 'Vernon Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Chuck Couch', 'Ralph Wright']",,,,,,,
Saludos Amigos,"['Production', 'company', 'Walt Disney Productions']","['August 24, 1942(1942-08-24)(World Premiere-Rio de Janeiro)', 'February 6, 1943(1943-02-06)(U.S. Premiere-Boston)', 'February 19, 1943(1943-02-19)(U.S.)[1]']",42 minutes,United States,,"$1,135,000 (worldwide rentals)[2]","['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']",Walt Disney,,,"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']",RKO Radio Pictures,,"['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']",Fred Shields,,,"['English', 'Portuguese', 'Spanish']",,,
Victory Through Air Power,"['Production', 'company', 'Walt Disney Productions']","['July 17, 1943(1943-07-17)']",65 min.,United States,English,"$799,000","['Directed by', 'Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']",Walt Disney,"['Written by', 'Story direction:', 'Perce Pearce', 'Story adaptation:', 'T. Hee', 'Erdman Penner', 'Bill Cottrell', 'James Brodero', 'George Stallings', 'Jose Rodriguez']",Victory Through Air PowerbyMaj. Alexander P. Seversky,Alexander de Seversky,"['Music by', 'Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",United Artists,"$788,000",,Art Baker,Ray Rennahan,Jack Dennis,,,,
The Three Caballeros,"['Production', 'company', 'Walt Disney Productions']","['December 21, 1944(1944-12-21)(Mexico City)', 'February 3, 1945(1945-02-03)(US)[1]']",71 minutes,United States,,"$3,355,000 (worldwide rentals)[2]","['Norman Ferguson(supervising director)', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young(sequence directors)']",Walt Disney,,,"['Clarence Nash', 'José Oliveira', 'Joaquin Garay']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",RKO Radio Pictures,,"['Homer Brightmen', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']",,,,"['English', 'Spanish', 'Portuguese']",,,
